p,q,h,L2 error
 5,  4,  4, 3.199081e-01
 5,  4,  5, 2.851001e-01
 5,  5,  0, 6.693090e-01
 5,  5,  1, 8.789459e-02
 5,  5,  2, 3.752340e-01
 5,  5,  3, 8.770335e-03
 5,  5,  4, 1.347493e-04
 5,  5,  5, 1.392073e-03
 5,  6,  0, 9.160264e-01
 5,  6,  1, 4.133484e-02
 5,  6,  2, 3.342459e-03
 5,  6,  3, 3.612628e-04
 5,  6,  4, 6.302307e-04
 5,  6,  5, 5.121607e-04
 5,  7,  0, 2.151188e-01
 5,  7,  1, 4.230541e-03
 5,  7,  2, 1.366221e-04
 5,  7,  3, 3.919132e-03
 5,  7,  4, 2.140820e-04
 5,  7,  5, 1.476563e-04
 5,  8,  0, 1.596603e-01
 5,  8,  1, 4.670228e-03
 5,  8,  2, 6.621776e-04
 5,  8,  3, 8.966229e-04
 5,  8,  4, 3.458788e-04
 5,  8,  5, 5.838091e-04
 5,  9,  0, 5.477376e-02
 5,  9,  1, 1.286338e-02
 5,  9,  2, 1.491223e-03
 5,  9,  3, 4.798851e-04
 5,  9,  4, 2.432156e-03
 5,  9,  5, 1.811792e-04
 5, 10,  0, 2.769884e-02
 5, 10,  1, 4.271042e-03
 5, 10,  2, 9.746697e-03
 5, 10,  3, 1.501919e-03
 5, 10,  4, 6.605103e-04
 5, 10,  5, 1.364413e-04
 6,  3,  0, 4.117878e-02
 6,  3,  1, 4.224283e-01
 6,  3,  2, 2.690713e-01
 6,  3,  3, 3.028081e-01
 6,  3,  4, 3.069758e-01
 6,  3,  5, 2.916385e-01
 6,  4,  0, 2.868136e-01
 6,  4,  1, 4.452896e-01
 6,  4,  2, 3.027051e-01
 6,  4,  3, 3.233292e-01
 6,  4,  4, 2.929463e-01
 6,  4,  5, 2.770701e-01
 6,  5,  0, 9.854676e-01
 6,  5,  1, 6.011663e-01
 6,  5,  2, 1.563110e-01
 6,  5,  3, 6.056774e-02
 6,  5,  4, 1.232803e-02
 6,  5,  5, 3.926955e-03
 6,  6,  0, 1.936390e+00
 6,  6,  1, 9.962411e-01
 6,  6,  2, 7.361974e-03
 6,  6,  3, 6.846381e-03
 6,  6,  4, 4.605596e-04
 6,  6,  5, 9.436240e-03
 6,  7,  0, 7.846976e-01
 6,  7,  1, 3.111160e-02
 6,  7,  2, 3.970411e-03
 6,  7,  3, 1.162319e-03
 6,  7,  4, 2.826134e-03
 6,  7,  5, 7.101422e-03
 6,  8,  0, 3.029067e-01
 6,  8,  1, 3.376351e-03
 6,  8,  2, 5.365937e-04
 6,  8,  3, 4.804626e-04
 6,  8,  4, 3.092307e-03
 6,  8,  5, 2.200100e-04
 6,  9,  0, 2.699551e-02
 6,  9,  1, 1.514684e-03
 6,  9,  2, 5.301500e-04
 6,  9,  3, 5.483329e-03
 6,  9,  4, 3.378243e-04
 6,  9,  5, 4.722425e-04
 6, 10,  0, 1.857739e-02
 6, 10,  1, 4.923790e-04
 6, 10,  2, 2.146282e-04
 6, 10,  3, 3.724765e-04
 6, 10,  4, 2.388202e-03
 6, 10,  5, 5.446309e-05
