p,q,n,h,Epoch,L2 error,L1 error,Linf error,L2 relative,L1 relative,Linf relative,Loss
 4, 3, 1,1.0, 5000,4.119814e-02,3.340510e-02,8.202715e-02,1.191976e-01,1.211163e-01,1.077079e-01,4.465841e-07
 4, 3, 1,1.0,10000,4.118678e-02,3.339602e-02,8.183210e-02,1.191647e-01,1.210834e-01,1.074518e-01,2.835035e-08
 4, 3, 1,1.0, 5000,4.120915e-02,3.341630e-02,8.341222e-02,1.192295e-01,1.211569e-01,1.095266e-01,1.766602e-04
 4, 3, 1,1.0,10000,4.118693e-02,3.339612e-02,8.183311e-02,1.191652e-01,1.210838e-01,1.074531e-01,6.997202e-08
 4, 3, 1,1.0, 5000,4.115232e-02,3.336985e-02,8.311810e-02,1.190650e-01,1.209885e-01,1.091404e-01,1.994677e-04
 4, 3, 1,1.0,10000,4.117731e-02,3.338873e-02,8.187731e-02,1.191374e-01,1.210570e-01,1.075111e-01,1.204417e-08
 4, 3, 1,1.0, 5000,4.117148e-02,3.338417e-02,8.185621e-02,1.191205e-01,1.210404e-01,1.074834e-01,2.049274e-07
 4, 3, 1,1.0,10000,4.118772e-02,3.339971e-02,8.296021e-02,1.191674e-01,1.210968e-01,1.089331e-01,2.822456e-04
 4, 3, 1,1.0, 5000,4.118755e-02,3.339658e-02,8.187844e-02,1.191670e-01,1.210854e-01,1.075126e-01,1.837795e-07
 4, 3, 1,1.0,10000,4.118237e-02,3.339260e-02,8.180816e-02,1.191520e-01,1.210710e-01,1.074204e-01,6.263229e-06
 4, 3, 1,1.0, 5000,4.117806e-02,3.338932e-02,8.179917e-02,1.191395e-01,1.210591e-01,1.074085e-01,3.676799e-08
 4, 3, 1,1.0,10000,4.117953e-02,3.339043e-02,8.174904e-02,1.191438e-01,1.210631e-01,1.073427e-01,7.290513e-09
 4, 3, 1,1.0, 5000,4.120568e-02,3.341269e-02,8.216144e-02,1.192194e-01,1.211438e-01,1.078842e-01,4.074969e-07
 4, 3, 1,1.0,10000,4.118195e-02,3.339229e-02,8.173640e-02,1.191508e-01,1.210699e-01,1.073261e-01,4.498724e-08
 4, 3, 1,1.0, 5000,4.116278e-02,3.338040e-02,8.270191e-02,1.190953e-01,1.210268e-01,1.085939e-01,9.037147e-05
 4, 3, 1,1.0,10000,4.117662e-02,3.338818e-02,8.186307e-02,1.191353e-01,1.210550e-01,1.074924e-01,1.537446e-07
 4, 3, 1,1.0, 5000,4.117133e-02,3.338404e-02,8.183824e-02,1.191200e-01,1.210400e-01,1.074598e-01,2.201976e-07
 4, 3, 1,1.0,10000,4.118126e-02,3.339176e-02,8.173408e-02,1.191488e-01,1.210679e-01,1.073231e-01,1.443770e-08
 4, 3, 1,1.0, 5000,4.117307e-02,3.338677e-02,8.241655e-02,1.191251e-01,1.210499e-01,1.082192e-01,3.647944e-10
 4, 3, 1,1.0,10000,4.117982e-02,3.339067e-02,8.181073e-02,1.191446e-01,1.210640e-01,1.074237e-01,4.806527e-07
 4, 3, 2,0.5, 5000,4.217510e-01,2.935578e-01,1.541283e+00,1.220242e+00,1.064348e+00,2.023822e+00,3.151431e-06
 4, 3, 2,0.5,10000,4.285634e-01,2.927311e-01,1.571713e+00,1.239953e+00,1.061350e+00,2.063779e+00,4.945830e-03
 4, 3, 2,0.5, 5000,3.475123e-01,2.490264e-01,1.212121e+00,1.005449e+00,9.028910e-01,1.591608e+00,7.859991e-08
 4, 3, 2,0.5,10000,3.373796e-01,2.435291e-01,1.153372e+00,9.761323e-01,8.829594e-01,1.514465e+00,1.777299e-04
 4, 3, 2,0.5, 5000,4.007678e-01,2.830799e-01,1.366184e+00,1.159532e+00,1.026358e+00,1.793903e+00,3.365587e-05
 4, 3, 2,0.5,10000,4.029951e-01,2.815545e-01,1.408102e+00,1.165976e+00,1.020828e+00,1.848945e+00,2.876008e-04
 4, 3, 2,0.5, 5000,4.235068e-01,2.964293e-01,1.498761e+00,1.225322e+00,1.074759e+00,1.967987e+00,4.916411e-07
 4, 3, 2,0.5,10000,4.161889e-01,2.869301e-01,1.494723e+00,1.204150e+00,1.040318e+00,1.962686e+00,1.226861e-04
 4, 3, 2,0.5, 5000,3.900089e-01,2.845581e-01,1.285422e+00,1.128404e+00,1.031718e+00,1.687857e+00,4.639093e-06
 4, 3, 2,0.5,10000,3.904181e-01,2.778005e-01,1.342044e+00,1.129588e+00,1.007217e+00,1.762206e+00,1.142081e-03
 4, 3, 2,0.5, 5000,3.770795e-01,2.824798e-01,1.052850e+00,1.090995e+00,1.024182e+00,1.382473e+00,2.195943e-03
 4, 3, 2,0.5,10000,3.687875e-01,2.761123e-01,1.090287e+00,1.067004e+00,1.001096e+00,1.431630e+00,1.572702e-02
 4, 3, 2,0.5, 5000,3.828639e-01,2.736432e-01,1.316580e+00,1.107731e+00,9.921434e-01,1.728770e+00,1.556918e-04
 4, 3, 2,0.5,10000,3.722366e-01,2.637611e-01,1.311290e+00,1.076983e+00,9.563143e-01,1.721823e+00,4.532356e-06
 4, 3, 2,0.5, 5000,3.206410e-01,2.415049e-01,9.589452e-01,9.277031e-01,8.756204e-01,1.259168e+00,3.440691e-04
 4, 3, 2,0.5,10000,3.160628e-01,2.372489e-01,9.822748e-01,9.144569e-01,8.601894e-01,1.289802e+00,1.115685e-05
